商品コード,仕様コード,内容
14705,48,PABLO/531
14705,6,スペイン
14710,0,表地：やぎ革<br />胴裏：ポリエステル65% コットン35%<br />袖裏：ポリエステル100%<br />衿(取り外し可)<br />毛皮：羊革(ムートン)<br />皮革部分：やぎ革
14710,33,ポケット3
14710,34,ボタン式ポケット2
14710,48,3623-1225
14710,5,洗濯不可
14710,6,イタリア
14711,0,牛革
14711,33,ファスナー式ポケット1 ポケット4
14711,34,ポケット4
14711,38,約1.3kg
14711,4,キーリング 保存袋(予告なく仕様が変わる場合がございます)
14711,48,04-01000
14711,6,日本
14711,9,幅×高さ×マチ：42×29×8.5cm
14712,0,牛革
14712,33,ボタン式ポケット1 ポケット1
14712,34,ファスナー式ポケット2 ポケット2
14712,38,約1.7kg
14712,4,キーリング 保存袋(予告なく仕様が変わる場合がございます)
14712,48,02-02003
14712,6,日本
14712,9,幅×高さ×マチ：41×30×18cm
14714,0,コットン70% ウール30%
14714,48,G-13AW10
14714,5,手洗い ドライクリーニング
14714,6,フランス
14715,0,コットン70% ウール30%
14715,48,G-13AW16
14715,5,手洗い ドライクリーニング
14715,6,フランス
14717,0,アッパー：スウェード<br>ソール：レザー ラバー
14717,15,マッケイ製法
14717,4,シューズケース<br />靴べら(予告なく仕様が変わる場合がございます)
14717,48,SIDEGORE
14717,6,ベトナム
14718,0,牛革
14718,11,約1.3kg
14718,34,ファスナー式ポケット1 カード入れ1 ペン挿し3
14718,4,タスティング布袋 レザークリーム
14718,48,TSKB2
14718,6,英国
14718,9,幅×高さ×マチ：約40.5×28×13cm
14719,0,牛革（シューレザー）
14719,11,約0.5kg
14719,4,タスティング布袋
14719,48,TSU53
14719,6,英国
14719,9,幅×高さ×マチ：約34×25×1.5cm
14720,0,牛革（シューレザー）
14720,11,約0.8kg
14720,34,ファスナー式ポケット1 ポケット1
14720,4,タスティング布袋
14720,48,TSU35
14720,6,英国
14720,9,幅×高さ×マチ：約46×30×14cm
14722,0,牛革 シボレザー Lagun
14722,11,約0.5kg
14722,34,カードポケット1 ペン挿し2
14722,4,シャンボール布袋
14722,48,CH.60340
14722,6,フランス
14722,9,幅×高さ×マチ：約33×21.5×1.5cm
14725,0,ムートン(羊革) ナイロン100%<br />中綿：グースダウン
14725,33,ポケット2
14725,48,CANDIDA
14725,5,洗濯不可
14725,6,イタリア
14730,0,アッパー：コットン<br />インソール：コットン<br />アウトソール：麻 コットン ラバー
14730,6,スペイン
14734,0,"アッパー：スウェード<br />インソール：スウェード<br />アウトソール：麻 ラバー
"
14734,6,スペイン
14739,0,牛革
14739,33,ファスナー式ポケット1 ボタン式ポケット1
14739,34,ファスナー式ポケット1 ポケット2
14739,38,約1.6kg
14739,4,キーリング 保存袋(予告なく仕様が変わる場合がございます)
14739,48,02-01004
14739,6,日本
14739,9,幅×高さ×マチ：40.5×28.5×12cm
14740,0,コーデュラナイロン
14740,11,約1kg
14740,33,ファスナー式ポケット3 ボタン式ポケット2 着脱式キーホルダー1
14740,34,ポケット1
14740,48,BRF164219
14740,6,米国
14740,9,幅×高さ×マチ：約35×50×14cm
14741,0,牛革
14741,33,ファスナー式ポケット2
14741,34,ファスナー式ポケット1 ポケット3
14741,38,約0.4kg
14741,4,保存袋(予告なく仕様が変わる場合がございます)
14741,48,01-08001
14741,6,日本
14741,9,幅×高さ×マチ：33×18.5×3cm
14742,0,アッパー:レザー<br />ソール:レザー ラバー
14742,15,ブラック・ラピット製法
14742,48,B5346
14742,6,イタリア
14744,0,生地：ポリエステル100%<br />袖裏地：ポリエステル50% ナイロン50%<br />身頃裏地：ナイロン100%<br />袖口：ウール45% アクリル45% ポリウレタン10%<br />中綿：ダウン92% フェザー8%<br />ファー：マーモット
14744,33,ボタン式ポケット2<br />ポケット2
14744,34,ファスナー式ポケット1<br />ボタン式ポケット1
14744,48,MO-0001/MOORER PHILIP
14744,5,手洗い 洗濯機弱洗い ドライクリーニング
14744,6,イタリア
14745,0,表地：ポリエステル100%<br />身頃：ナイロン50% ポリエステル50%<br />袖裏：ナイロン100%<br />詰物：ダウン92% フェザー8%<br />ファー：ラビット
14745,33,ファスナー式ポケット3<br />ボタン式ポケット2
14745,34,ファスナー式ポケット2<br />ボタン式ポケット1
14745,48,MO-0001/MOORER SIRO
14745,5,ドライクリーニング
14745,6,イタリア
14746,0,メリノウール90% ナイロン10%
14746,22,踵から口ゴムまでの高さ約28cm
14746,48,5200
14746,5,手洗い
14746,6,イングランド
14746,9,"フリーサイズ<br />メーカー表示 UK5.5～6 Euro38～39 10"""
14747,0,メリノウール90% ナイロン10%
14747,22,踵から口ゴムまでの高さ約47cm
14747,48,6200
14747,5,手洗い
14747,6,イングランド
14747,9,"フリーサイズ<br />メーカー表示 UK5.5～6 Euro38～39 10"""
14749,0,牛革 山羊革<br />裏地：コットン100%
14749,11,約1kg
14749,33,ファスナー式ポケット2
14749,34,ファスナー式ポケット2<br />ボタン式ポケット2<br />キーフック1
14749,4,パスケース1
14749,48,GAS3450
14749,6,中国
14749,9,幅×高さ×マチ：約39×27×7cm
14750,0,牛革 山羊革<br />裏地：コットン100%
14750,11,約1.5kg
14750,33,ファスナー式ポケット2
14750,34,ファスナー式ポケット2<br />ボタン式ポケット2<br />キーフック1
14750,4,パスケース1
14750,48,GAS3451
14750,6,中国
14750,9,幅×高さ×マチ：約41×29×17cm
14752,48,A1093
14752,5,手洗い
14752,6,イタリア
14752,9,全長：約24cm
14753,48,A10109
14753,5,手洗い
14753,6,イタリア
14753,9,全長：約24cm
14754,0,シルク100%
14754,48,FE01558
14754,5,ドライクリーニング
14754,6,日本
14754,9,大剣：8.5cm<br />小剣：4.5cm<br />長さ：145cm
14755,0,コーデュラナイロン
14755,11,約0.6kg
14755,33,ファスナー式ポケット1<br />ポケット5<br />着脱式キーホルダー1
14755,34,ポケット2
14755,48,BRF183219
14755,6,米国
14755,9,幅×高さ×マチ：43×28×13cm
14756,0,コーデュラナイロン
14756,11,約0.2kg
14756,33,ファスナー式ポケット1<br />着脱式キーホルダー1
14756,34,ファスナー式ポケット1<br />ポケット1
14756,48,BRF189219
14756,6,米国
14756,9,幅×高さ×マチ：22×14×6cm
14757,0,コーデュラナイロン
14757,11,約0.3kg
14757,33,ファスナー式ポケット1<br />着脱式キーホルダー1
14757,34,ファスナー式ポケット1
14757,48,BRF190219
14757,6,米国
14757,9,幅×高さ×マチ：43×22×10cm
14759,0,ラムズウール75% アンゴラ25%
14759,5,ドライクリーニング
14759,6,スコットランド
14759,9,フリンジの長さ：8cm<br />フリンジを除く本体の長さ：184cm<br />幅：30cm
14760,0,ラムズウール75% アンゴラ25%
14760,5,ドライクリーニング
14760,6,スコットランド
14760,9,フリンジの長さ：8cm<br />フリンジを除く本体の長さ：182cm<br />幅：65cm
14761,0,表地：ナイロン100%<br />裏地：ウール100%<br />中綿：ポリエステル100%
14761,34,ポケット2
14761,48,MLl0038
14761,5,水洗い不可 ドライクリーニング
14761,6,ベトナム
14768,0,牛革
14768,11,約1.2kg
14768,33,ファスナー式ポケット1 ポケット2
14768,34,ファスナー式ポケット1 ポケット4
14768,4,キーリング 保存袋(予告なく仕様が変わる場合がございます)
14768,48,01-02006
14768,6,日本
14768,9,幅×高さ×マチ：52×33×15cm
14769,0,コットン76% ポリアミド24%
14769,48,61S
14769,5,手洗い
14769,6,イタリア
14769,9,フリーサイズ<br />メーカー表示 38～40
14770,0,ライム
14770,48,cjsotree
14770,6,英国
14771,0,ウール100%
14771,48,LT528 Alou Argyle
14771,5,ドライクリーニング
14771,6,フランス
14772,0,コットン100%
14772,1,ホリゾンタルカラー
14772,2,シングルカフ
14772,4,フィナモレ布袋
14772,48,011782-008
14772,5,手洗い ドライクリーニング
14772,6,イタリア
14773,0,コーデュラナイロン
14773,11,約0.7kg
14773,33,ファスナー式ポケット1<br />ポケット4<br />ペン挿し1<br />着脱式キーホルダー 1
14773,34,ファスナー式ポケット1<br />ポケット2
14773,48,BRF188219
14773,6,米国
14773,9,幅×高さ×マチ：43×33×16cm
14774,0,表地：ナイロン85% ポリウレタン15%<br />別布：ナイロン100%<br />中わた：ダウン90% フェザー10%<br />裏地：ナイロン85% ポリウレタン15%<br />ファー：ポーランドラクーン(タヌキ)<br />合成皮革
14774,33,ファスナー式ポケット3<br />ボタン式ポケット4
14774,34,ファスナー式ポケット1
14774,4,タトラスロゴ入りハンガー<br />正規代理店タトラスジャパン社オフィシャルカード
14774,48,MTA14A4221
14774,5,水洗い不可 ドライクリーニング
14774,6,ポーランド
14775,0,ウール100%
14775,33,ポケット2
14775,48,39974
14775,5,水洗い不可 ドライクリーニング
14775,6,カナダ
14782,0,表地：ポリエステル100%<br />裏地：ポリエステル100%<br />中綿：ダウン90% フェザー10%
14782,33,ファスナー式ポケット2
14782,4,ナイロンケース
14782,48,PH-13AW 01 Delta Hooded Jacket
14782,5,水洗い不可 ドライクリーニング
14782,6,英国
14783,0,生地：ウール55% ポリエステル45%<br />ハンドル：牛革<br />留め具：水牛角<br />ショルダーストラップ：コットン 牛革
14783,11,約1kg
14783,33,ファスナー式ポケット1 ポケット2
14783,34,ファスナー式ポケット1 ポケット2
14783,4,ムータ布袋
14783,48,MUBG-DUFFEL/S
14783,6,中国
14783,9,幅×高さ×マチ：36×34×12.5cm
14784,0,生地：ウール55% ポリエステル45%<br />ハンドル：牛革<br />留め具：水牛角<br />ショルダーストラップ：コットン 牛革
14784,11,約1.2kg
14784,33,ファスナー式ポケット1 ポケット2
14784,34,ファスナー式ポケット1 ポケット2
14784,4,ムータ布袋
14784,48,MUBG-DUFFEL/M
14784,6,中国
14784,9,幅×高さ×マチ：40×38×14cm
14785,0,生地：ウール55% ポリエステル45%<br />ハンドル：牛革<br />留め具：水牛角<br />ショルダーストラップ：コットン 牛革
14785,11,約1.3kg
14785,33,ファスナー式ポケット1 ポケット2
14785,34,ファスナー式ポケット1 ポケット2
14785,4,ムータ布袋
14785,48,MUBG-DUFFEL/L
14785,6,中国
14785,9,幅×高さ×マチ：40×42.5×15.5cm
14790,0,ポリエステル100%
14790,48,Ａ9983
14790,5,手洗い
14790,6,イタリア
14790,9,全長：約24cm
14791,0,ポリエステル100%
14791,48,A10117
14791,5,手洗い
14791,6,イタリア
14791,9,全長：約24cm
14792,0,牛革 型押しレザー Calpe
14792,11,約1.7kg
14792,34,ファスナー式ポケット1
14792,4,シャンボール布袋
14792,48,CH.60307
14792,6,フランス
14792,9,幅×高さ×マチ：45×32×17cm
14793,0,表地：ウール100%<br />裏地：レーヨン100%<br />部分使い：ポリエステル100%
14793,12,ハケットハンガー
14793,33,ポケット2
14793,48,HM450160-595
14793,5,水洗い不可 ドライクリーニング
14793,6,チュニジア
14795,0,シルク100%
14795,48,HM051359
14795,5,ドライクリーニング
14795,6,イタリア
14795,9,大剣：7.5cm<br />小剣：4.5cm<br />全長：147cm
14796,0,シルク100%
14796,48,HM051363
14796,5,ドライクリーニング
14796,6,イタリア
14796,9,大剣：7.5cm<br />小剣：4.5cm<br />全長：147cm
14801,0,シルク100%
14801,48,HM051453-595
14801,5,ドライクリーニング
14801,6,イタリア
14801,9,大剣：7.5cm<br />小剣：4.5cm<br />全長：147cm
14804,0,牛革
14804,11,約1.7kg
14804,33,ボタン式ポケット1 ポケット2
14804,34,ファスナー式ポケット1<br />ボタン式ポケット1<br />ポケット2<br />ペン挿し2<br />キーリング1
14804,4,ホイッスル1<br />ネームタグ1<br />ペッレモルビダ布袋1
14804,48,MB019
14804,6,日本
14804,9,幅×高さ×マチ：47×31×13.5cm
14805,0,牛革
14805,11,約0.9kg
14805,33,ボタン式ポケット1
14805,34,ボタン式ポケット1<br />ポケット3<br />ペン挿し2<br />キーリング1
14805,4,ホイッスル1<br />ネームタグ1<br />ペッレモルビダ布袋1
14805,48,MB017
14805,6,日本
14805,9,幅×高さ×マチ：40×29×4cm
14807,0,コットン100%
14807,48,ADRIAN
14807,5,手洗い ドライクリーニング
14807,6,英国
14808,0,コットン100%
14808,48,STEADMAN
14808,5,手洗い ドライクリーニング
14808,6,英国
14809,0,ポリエステル100%
14809,48,Ａ1093/I869
14809,5,手洗い
14809,6,イタリア
14809,9,全長：約24cm
14810,0,ポリエステル100%
14810,48,Ａ9983/70030C
14810,5,手洗い
14810,6,イタリア
14810,9,全長：約24cm
14811,0,ポリエステル100%
14811,48,Ａ9983
14811,5,手洗い
14811,6,イタリア
14811,9,全長：約24cm
14812,0,シルク100%
14812,48,TAL304
14812,5,ドライクリーニング
14812,6,英国
14812,9,ネックサイズ：フリー/調整可
14813,0,牛革
14813,11,約0.9kg
14813,33,ファスナー式ポケット1 ボタン式ポケット1 ポケット1
14813,34,ポケット2
14813,4,キーリング 保存袋(予告なく仕様が変わる場合がございます)
14813,48,05-02000
14813,6,日本
14813,9,幅×高さ×マチ：41×36×16cm
14814,0,牛革
14814,11,約1kg
14814,33,ファスナー式ポケット1 ボタン式ポケット1 ポケット1
14814,34,ポケット2
14814,4,キーリング 保存袋(予告なく仕様が変わる場合がございます)
14814,48,05-02001
14814,6,日本
14814,9,幅×高さ×マチ：32×41×7.5cm
14815,0,牛革
14815,11,約0.9kg
14815,33,ファスナー式ポケット1 ボタン式ポケット1
14815,34,ファスナー式ポケット1
14815,4,キーリング 保存袋(予告なく仕様が変わる場合がございます)
14815,48,05-03001
14815,6,日本
14815,9,幅×高さ×マチ：25×30×7cm
14816,0,牛革
14816,11,約0.6kg
14816,33,ファスナー式ポケット2 ボタン式ポケット1
14816,34,ポケット1
14816,4,キーリング 保存袋(予告なく仕様が変わる場合がございます)
14816,48,05-07001
14816,6,日本
14816,9,幅×高さ×マチ：31.5×20×7cm
14818,0,牛革
14818,33,カード入れ1
14818,34,カード入れ3
14818,48,BA005
14818,6,日本
14818,9,幅×高さ×マチ：11×8×1.5cm
14819,0,牛革
14819,11,約1.1kg
14819,34,ファスナー式ポケット1<br />ポケット2
14819,4,ポーチ1<br />ホイッスル1<br />ネームタグ1<br />ペッレモルビダ布袋1
14819,48,ST002
14819,6,日本
14819,9,幅×高さ×マチ：50×31×14cm
14822,0,牛革 ナイロン
14822,34,キーリング1
14822,4,ムータ布袋
14822,48,MUGC
14822,6,中国
14822,9,幅×高さ×マチ:11×5.5×4cm
14823,0,牛革
14823,11,約1.4kg
14823,33,ファスナー式ポケット1 ポケット3
14823,34,ファスナー式ポケット1 ポケット2
14823,4,キーリング 保存袋(予告なく仕様が変わる場合がございます)
14823,48,06-06000
14823,6,日本
14823,9,幅×高さ×マチ：62×33×22cm
14824,0,生地：ウール55% ポリエステル45%<br />ハンドル：牛革<br />ショルダーストラップ：コットン 牛革
14824,33,ファスナー式ポケット3 ポケット2
14824,34,ファスナー式ポケット1 ポケット2
14824,38,約1kg
14824,4,ムータ布袋
14824,48,MUBG-MILITARY/S
14824,6,中国
14824,9,幅×高さ×マチ：36×34×12.5cm
14825,0,生地：ウール55% ポリエステル45%<br />ハンドル：牛革<br />ショルダーストラップ：コットン 牛革
14825,33,ファスナー式ポケット3 ポケット2
14825,34,ファスナー式ポケット1 ポケット2
14825,38,約1.2kg
14825,4,ムータ布袋
14825,48,MUBG-MILITARY/M
14825,6,中国
14825,9,幅×高さ×マチ：40×38×14cm
14826,0,生地：ウール55% ポリエステル45%<br />ハンドル：牛革<br />ショルダーストラップ：コットン 牛革
14826,33,ファスナー式ポケット3 ポケット2
14826,34,ファスナー式ポケット1 ポケット2
14826,38,約1.2kg
14826,4,ムータ布袋
14826,48,MUBG-MILITARY/L
14826,6,中国
14826,9,幅×高さ×マチ：44×42.5×15.5cm
14827,0,コットン100%
14827,1,ホリゾンタルカラー
14827,2,シングルカフ
14827,4,フィナモレ布袋
14827,48,31SEN03038101
14827,5,手洗い ドライクリーニング
14827,6,イタリア
14828,0,コットン100%
14828,1,ホリゾンタルカラー
14828,2,シングルカフ
14828,4,フィナモレ布袋
14828,48,31OSA01192801
14828,5,手洗い ドライクリーニング
14828,6,イタリア
14829,0,コットン100%
14829,1,ホリゾンタルカラー
14829,2,シングルカフ
14829,4,フィナモレ布袋
14829,48,31SEN01192501
14829,5,手洗い ドライクリーニング
14829,6,イタリア
14830,0,コットン100%
14830,1,ホリゾンタルカラー
14830,2,シングルカフ
14830,4,フィナモレ布袋
14830,48,31SEN01192403
14830,5,手洗い ドライクリーニング
14830,6,イタリア
14832,0,コットン100%
14832,1,ホリゾンタルカラー
14832,2,シングルカフ
14832,4,フィナモレ布袋
14832,48,31SEN03038101
14832,5,手洗い ドライクリーニング
14832,6,イタリア
14833,0,コットン100%
14833,1,ホリゾンタルカラー
14833,2,シングルカフ
14833,4,フィナモレ布袋
14833,48,31OSA01192801
14833,5,手洗い ドライクリーニング
14833,6,イタリア
14834,0,コットン100%
14834,1,ホリゾンタルカラー
14834,2,シングルカフ
14834,4,フィナモレ布袋
14834,48,31SEN01192501
14834,5,手洗い ドライクリーニング
14834,6,イタリア
14835,0,コットン100%
14835,1,ホリゾンタルカラー
14835,2,シングルカフ
14835,4,フィナモレ布袋
14835,48,31SEN01192403
14835,5,手洗い ドライクリーニング
14835,6,イタリア
14836,0,コットン100%
14836,1,ホリゾンタルカラー
14836,2,シングルカフ
14836,4,フィナモレ布袋
14836,48,31STP01192602
14836,5,手洗い ドライクリーニング
14836,6,イタリア
14837,0,牛革
14837,11,約0.6kg
14837,33,ファスナー式ポケット1
14837,34,ポケット1
14837,4,キーリング 保存袋(予告なく仕様が変わる場合がございます)
14837,48,06-07000
14837,6,日本
14837,9,幅×高さ×マチ：16×27×10cm
14839,0,牛革
14839,11,約1.5kg
14839,33,ファスナー式ポケット1 ボタン式ポケット1
14839,34,ファスナー式ポケット1 ポケット2
14839,4,キーリング 保存袋(予告なく仕様が変わる場合がございます)
14839,48,06-09000
14839,6,日本
14839,9,幅×高さ×マチ：41×30×18cm
14840,0,牛革
14840,11,約0.9kg
14840,33,ファスナー式ポケット1
14840,34,ポケット2
14840,4,キーリング 保存袋(予告なく仕様が変わる場合がございます)
14840,48,06-03000
14840,6,日本
14840,9,幅×高さ×マチ：37×18×18cm
14842,0,コーデュラナイロン
14842,11,約0.6kg
14842,33,ファスナー式ポケット1 ポケット2 着脱式キーホルダー1
14842,34,ポケット3
14842,48,BRF197219-599
14842,6,米国
14842,9,幅×高さ×マチ：56×32×18cm
14844,0,コーデュラナイロン
14844,11,約0.6kg
14844,33,ファスナー式ポケット1 ポケット4 着脱式キーホルダー1
14844,34,ファスナー式ポケット1 ポケット1
14844,48,BRF195219-599
14844,6,米国
14844,9,幅×高さ×マチ：32×36×15cm
14845,0,牛革
14845,11,約0.8kg
14845,33,ファスナー式ポケット1
14845,34,ファスナー式ポケット1 ボタン式ポケット1 ポケット2
14845,4,キーリング 保存袋(予告なく仕様が変わる場合がございます)
14845,48,06-02000
14845,6,日本
14845,9,幅×高さ×マチ：31.5×35×14cm
14846,12,ディー・ダミーコ布袋
14846,6,イタリア
14846,9,全長：約27cm
14849,12,ディー・ダミーコ布袋
14849,6,イタリア
14849,9,全長：約22cm
14850,51,このブランドはギフトサービスに対応しておりません。
14850,52,224ページ
14850,9,B5判（182×257㎜）
14852,0,コーデュラナイロン
14852,11,約0.4kg
14852,33,ファスナー式ポケット1
14852,34,ファスナー式ポケット1 着脱式キーホルダー1
14852,48,BRF205219
14852,6,米国
14852,9,幅×高さ×マチ：32×19×8cm
14853,0,バリスティックナイロン
14853,11,約2kg
14853,33,ファスナー式ポケット2
14853,34,ファスナー式ポケット1 着脱式キーホルダー1
14853,48,BRF200219
14853,6,米国
14853,9,幅×高さ×マチ：52×38×15cm
14856,0,シルク100%
14856,48,NR80-B-TT1154
14856,5,ドライクリーニング
14856,6,イタリア
14856,9,大剣：8cm<br />小剣：4.5cm<br />長さ：146cm
14857,0,シルク60% コットン40%
14857,48,NR80-B-TT1050
14857,5,ドライクリーニング
14857,6,イタリア
14857,9,大剣：8cm<br />小剣：4.5cm<br />長さ：146cm
14858,0,リネン100%
14858,1,ワイドスプレッド
14858,2,シングルカフ
14858,48,SN08-TS1095
14858,5,手洗い ドライクリーニング
14858,6,イタリア
14859,0,コットン100%
14859,1,ワイドスプレッド
14859,2,シングルカフ
14859,48,SN08-TS5014
14859,5,手洗い ドライクリーニング
14859,6,イタリア
14860,0,牛革
14860,11,約0.6kg
14860,34,ファスナー式ポケット1 ポケット2
14860,4,キーリング 保存袋(予告なく仕様が変わる場合がございます)
14860,48,01-03003
14860,6,日本
14860,9,幅×高さ：29×22cm
14863,0,コットン100%
14863,48,G-14SS15
14863,5,手洗い ドライクリーニング
14863,6,フランス
14864,0,コットン100%
14864,48,G-14SS15
14864,5,手洗い ドライクリーニング
14864,6,フランス
14865,0,コットン100%　貝ボタン
14865,1,ワイドスプレッド/接着芯
14865,2,シングルカフ
14865,48,1001
14865,5,洗濯機洗い
14865,6,英国
14866,0,コットン100%　貝ボタン
14866,1,ワイドスプレッド/接着芯
14866,2,シングルカフ
14866,48,1020
14866,5,洗濯機洗い
14866,6,英国
14867,0,シルク100%
14867,48,TAZ049
14867,5,水洗い不可 ドライクリーニング
14867,6,英国
14867,9,大剣：8cm<br />小剣：3.5cm<br />長さ：145cm
14868,0,シルク100%
14868,48,TAZ304
14868,5,水洗い不可 ドライクリーニング
14868,6,英国
14868,9,大剣：8cm<br />小剣：3.5cm<br />長さ：145cm
14869,0,シルク100%
14869,48,TAZ301
14869,5,水洗い不可 ドライクリーニング
14869,6,英国
14869,9,大剣：8cm<br />小剣：3.5cm<br />長さ：145cm
14870,0,シルク100%
14870,5,水洗い不可 ドライクリーニング
14870,6,英国
14870,9,大剣：8cm<br />小剣：3.5cm<br />長さ：145cm
14871,0,シルク100%
14871,48,TAZ308
14871,5,水洗い不可 ドライクリーニング
14871,6,英国
14871,9,大剣：8cm<br />小剣：3.5cm<br />長さ：145cm
14872,0,シルク100%
14872,48,TAZ461H
14872,5,水洗い不可 ドライクリーニング
14872,6,英国
14872,9,縦×横：41×41cm
14873,0,シルク100%
14873,48,TAZ462H
14873,5,水洗い不可 ドライクリーニング
14873,6,英国
14873,9,縦×横：41×41cm
14875,0,牛革
14875,33,ボタン式ポケット1 ポケット2
14875,34,ファスナー式ポケット1 ボタン式ポケット1 ポケット2 ペン挿し2 キーリング1
14875,4,ホイッスル1 ネームタグ1 ペッレモルビダ布袋
14875,48,MB022
14875,6,日本
14875,9,幅×高さ×マチ：43×33×11cm
14876,0,アッパー：牛革<br />ソール：ラバー
14876,15,セメント製法
14876,48,CAT02M
14876,6,英国
14877,0,コットン98% ポリウレタン2%
14877,48,1245-NOJ
14877,5,洗濯機弱洗い ドライクリーニング不可
14877,6,中国
14879,0,コットン99% ポリウレタン1%
14879,48,GＭP-14S004
14879,5,洗濯機弱洗い ドライクリーニング不可
14879,6,中国
14880,0,コットン99% ポリウレタン1%
14880,48,GＭP-14S015
14880,5,洗濯機弱洗い ドライクリーニング不可
14880,6,中国
14881,0,コットン98% ポリウレタン2%
14881,48,GＭP-14S006
14881,5,洗濯機弱洗い ドライクリーニング不可
14881,6,中国
14883,0,コットン ナイロン リネン
14883,11,約1.2kg
14883,34,ファスナー式ポケット1 ポケット2 キーフック1
14883,48,36014/32/35
14883,6,イタリア
14883,9,幅×高さ×マチ：40×27×18cm
14886,0,牛革
14886,11,約0.4kg
14886,34,ファスナー式ポケット1
14886,48,36018/25/35
14886,6,イタリア
14886,9,幅×高さ×マチ：26×15×2cm
14887,0,牛革 リネン<br />真鍮
14887,43,2.5×0.4cm
14887,45,縦×横：3.7×3.8cm
14887,48,31506/E03138
14887,6,フランス
14888,0,牛革<br />真鍮
14888,43,2.5×0.5cm
14888,45,縦×横：3.7×3.7cm
14888,48,31510/E03138
14888,6,フランス
14889,0,バリスティックナイロン
14889,11,約0.8kg
14889,33,ボタン式ポケット1
14889,34,ファスナー式ポケット1 ポケット2 着脱式キーホルダー1
14889,48,BRF199219
14889,6,米国
14889,9,幅×高さ×マチ：34×36.5×16cm
14890,0,牛床革<br />裏地：コットン100%
14890,11,約1.1kg
14890,33,ファスナー式ポケット2 ボタン式ポケット1
14890,34,ファスナー式ポケット1 ボタン式ポケット1 ポケット2 キーフック1
14890,4,南京錠 キーホルダー
14890,48,GAF-3560
14890,6,中国
14890,9,幅×高さ×マチ：約36×27×7cm
14891,0,牛床革<br />裏地：コットン100%
14891,11,約1.3kg
14891,33,ファスナー式ポケット2 ボタン式ポケット1
14891,34,ファスナー式ポケット1 ボタン式ポケット1 ポケット2 キーフック1
14891,4,南京錠 キーホルダー
14891,48,GAF-3561
14891,6,中国
14891,9,幅×高さ×マチ：約41×30×12cm
14892,0,牛革
14892,33,カード入れ1 ポケット1
14892,34,札入れ2 カード入れ19 コインケース1 ポケット2
14892,48,GAA-1207
14892,6,中国
14892,9,幅×高さ×マチ：約20×11×2.5cm
14893,0,牛革 ナイロン
14893,11,約0.3kg
14893,33,ファスナー式ポケット1
14893,4,保証書 保存袋
14893,48,799/CF+A
14893,6,イタリア
14893,9,幅×高さ×マチ：37×17×8cm
14894,0,牛革 ナイロン
14894,34,ファスナー式ポケット1
14894,4,保証書 保存袋
14894,48,11/91/CF+A
14894,6,イタリア
14894,9,幅×高さ×マチ：40×31×1.5cm
14895,0,牛革 ナイロン
14895,11,約0.3kg
14895,33,ファスナー式ポケット1
14895,4,保証書 保存袋
14895,48,799/DS
14895,6,イタリア
14895,9,幅×高さ×マチ：37×17×8cm
14896,0,牛革 ナイロン
14896,11,約0.7kg
14896,34,ファスナー式ポケット1 ポケット2
14896,4,保証書 保存袋
14896,48,13/47/DS
14896,6,イタリア
14896,9,幅×高さ×マチ：36×32×12cm
14897,0,牛革 ナイロン
14897,11,約0.7kg
14897,34,ファスナー式ポケット1
14897,4,保証書 保存袋
14897,48,11/91/NK+DS
14897,6,イタリア
14897,9,幅×高さ×マチ：40×31×15cm
14898,0,牛革 ナイロン
14898,11,約0.7kg
14898,34,ファスナー式ポケット1
14898,4,保証書 保存袋
14898,48,11/91/SA
14898,6,イタリア
14898,9,幅×高さ×マチ：40×31×15cm
14899,0,牛革 ナイロン
14899,11,約0.6 kg
14899,33,ポケット2
14899,34,ファスナー式ポケット1 ボタン式ポケット1
14899,4,保証書 保存袋
14899,48,1724/DS
14899,6,イタリア
14899,9,幅×高さ×マチ：42×29×11cm
14900,0,牛革 ナイロン
14900,11,約0.6 kg
14900,33,ポケット2
14900,34,ファスナー式ポケット1 ボタン式ポケット1
14900,4,保証書 保存袋
14900,48,1725/DS
14900,6,イタリア
14900,9,幅×高さ×マチ：40×31×8cm
14901,0,牛革 ナイロン
14901,11,約0.9kg
14901,33,ファスナー式ポケット1
14901,34,ファスナー式ポケット1 ポケット1
14901,4,保証書 保存袋
14901,48,12/39/DS
14901,6,イタリア
14901,9,幅×高さ×マチ：43×30×11cm
14902,0,牛革 ナイロン
14902,11,約0.8kg
14902,33,ファスナー式ポケット1 ポケット2
14902,34,ボタン式ポケット2 ポケット2 ペン挿し2
14902,4,保証書 保存袋 ネームタグ1
14902,48,8637/2/DS
14902,6,イタリア
14902,9,幅×高さ×マチ：41×32×11cm
14903,0,牛革 ナイロン
14903,11,約0.9kg
14903,33,ポケット2
14903,34,ボタン式ポケット2
14903,4,保証書 保存袋
14903,48,1845/DS
14903,6,イタリア
14903,9,幅×高さ×マチ：41×32×11cm
14904,0,牛革 ナイロン
14904,11,約1.2kg
14904,33,ポケット2
14904,34,ファスナー式ポケット1 ポケット2
14904,4,保証書 保存袋
14904,48,1993/DS
14904,6,イタリア
14904,9,幅×高さ×マチ：40×29×13cm
14905,0,牛革 ナイロン
14905,11,約0.4kg
14905,34,ファスナー式ポケット1 ポケット2
14905,4,保証書 保存袋
14905,48,9333/DS
14905,6,イタリア
14905,9,幅×高さ×マチ：36×22×9cm
